song,artist
One And One,Robert Miles Featuring Maria Nayler
"What's Love Got To Do With It (From ""Supercop"")",Warren G Featuring Adina Howard
Where It's At,Beck
Flood,Jars Of Clay
You,Monifah
Fastlove,George Michael
Dreamer,Livin' Joy
Automatic Lover (Call For Love),Real McCoy
A Mover La Colita,Artie The 1 Man Party
I Love You/You Bring Me Joy,Mary J. Blige
Any Man Of Mine/Whose Bed Have Your Boots Been Under?,Shania Twain
Wonderful,Adam Ant
Think Of You,Usher
Mishale,Andru Donalds
Lucas With The Lid Off,Lucas
The Way She Loves Me,Richard Marx
Selling The Drama,Live
Possession,Sarah McLachlan
Misled,Celine Dion
Sweet Potatoe Pie,Domino
It's All Good,M.C. Hammer
Time And Chance,Color Me Badd
Sex Me (Parts I & II),R. Kelly
Love For Love,Robin S.
Something In Your Eyes,Bell Biv DeVoe
Alright,Kris Kross Featuring Supercat
Regret,New Order
Love U More,Sunscreem
Homies,Lighter Shade Of Brown
Slow And Sexy,Shabba Ranks (Featuring Johnny Gill)
Flex,Mad Cobra
Slow Dance (Hey Mr. DJ),R. Kelly & Public Announcement
Constant Craving,k.d. lang
Take Me In Your Arms,Lil Suzy
"Mr. Loverman (From ""Deep Cover"")",Shabba Ranks
Just For Tonight,Vanessa Williams
Honey Love,R. Kelly & Public Announcement
The Choice Is Yours,Black Sheep
Love Me All Up,Stacy Earl
Ain't Gonna Hurt Nobody,Kid 'N Play
Ring My Bell,D.J. Jazzy Jeff & The Fresh Prince
Top Of The World,Van Halen
3 A.M. Eternal,The KLF
Crazy,Seal
Every Heartbeat,Amy Grant
It Ain't Over 'til It's Over,Lenny Kravitz
Rush Rush,Paula Abdul
I Don't Wanna Cry,Mariah Carey
Joyride,Roxette
I've Been Thinking About You,Londonbeat
You're In Love,Wilson Phillips
"Just The Way It Is, Baby",The Rembrandts
Together Forever,Lisette Melendez
Coming Out Of The Dark,Gloria Estefan
Someday,Mariah Carey
Love Makes Things Happen,Pebbles
I Saw Red,Warrant
I'm Your Baby Tonight,Whitney Houston
So Close,Daryl Hall John Oates
On The Way Up,Elisa Fiorillo
Hippychick,Soho
Cherry Pie,Warrant
Everybody Everybody,Black Box
Dirty Cash (Money Talks),The Adventures Of Stevie V
Unskinny Bop,Poison
When I'm Back On My Feet Again,Michael Bolton
Do You Remember?,Phil Collins
Price Of Love,Bad English
We Can't Go Wrong,The Cover Girls
We Didn't Start The Fire,Billy Joel
Living In Sin,Bon Jovi
Poison,Alice Cooper
Didn't I (Blow Your Mind),New Kids On The Block
Heaven,Warrant
Shower Me With Your Love,Surface
Who Do You Give Your Love To?,Michael Morales
Miss You Like Crazy,Natalie Cole
Everlasting Love,Howard Jones
The Look,Roxette
Eternal Flame,The Bangles
Stand,R.E.M.
Lost In Your Eyes,Debbie Gibson
"Surrender To Me (From ""Tequila Sunrise"")",Ann Wilson & Robin Zander
Dial My Heart,The Boys
What I Am,Edie Brickell & New Bohemians
Walking Away,Information Society
Not Just Another Girl,Ivan Neville
When It's Love,Van Halen
Here With Me,REO Speedwagon
1-2-3,Gloria Estefan & Miami Sound Machine
Parents Just Don't Understand,D.J. Jazzy Jeff & The Fresh Prince
Rush Hour,Jane Wiedlin
Nothin' But A Good Time,Poison
Promise Me,The Cover Girls
Shattered Dreams,Johnny Hates Jazz
Pamela,Toto
Say You Will,Foreigner
There's The Girl,Heart
Honestly,Stryper
So Emotional,Whitney Houston
Is This Love,Whitesnake
Just Like Heaven,The Cure
Animal,Def Leppard
Love Will Find A Way,Yes
Hourglass,Squeeze
It's A Sin,Pet Shop Boys
Don't Make Me Wait For Love,Kenny G. (Vocal By Lenny Williams)
Carrie,Europe
"I Heard A Rumour (From ""Disorderlies"")",Bananarama
One Heartbeat,Smokey Robinson
Wipeout,Fat Boys & The Beach Boys
When Smokey Sings,ABC
Luka,Suzanne Vega
Endless Nights,Eddie Money
Diamonds,Herb Alpert
If She Would Have Been Faithful. . .,Chicago
Right On Track,The Breakfast Club
(I Just) Died In Your Arms,Cutting Crew
Looking For A New Love,Jody Watley
Come Go With Me,Expose
Let's Wait Awhile,Janet Jackson
We Connect,Stacey Q
Love You Down,Ready For The World
Stop To Love,Luther Vandross
Is This Love,Survivor
The Rain,Oran 'Juice' Jones
Emotion In Motion,Ric Ocasek
When I Think Of You,Janet Jackson
Stuck With You,Huey Lewis & The News
Venus,Bananarama
Rumors,Timex Social Club
You Should Be Mine (The Woo Woo Song),Jeffrey Osborne
Nasty,Janet Jackson
Digging Your Scene,The Blow Monkeys
"Who's Johnny (""Short Circuit"" Theme)",El DeBarge
Tuff Enuff,The Fabulous Thunderbirds
I Wanna Be A Cowboy,Boys Don't Cry
All I Need Is A Miracle,Mike + The Mechanics
Bad Boy,Miami Sound Machine
Tender Love,Force M.D.'s
Living In America,James Brown
You're A Friend Of Mine,Clarence Clemons & Jackson Browne
Who's Zoomin' Who,Aretha Franklin
The Power Of Love,Huey Lewis & The News
Freeway Of Love,Aretha Franklin
Shout,Tears For Fears
Who's Holding Donna Now,Debarge
Rock Me Tonight,Freddie Jackson
Through the Fire,Chaka Khan
Would I Lie To You?,Eurythmics
Heaven,Bryan Adams
Smuggler's Blues,Glenn Frey
Axel F,Harold Faltermeyer
Fresh,Kool & The Gang
The NeverEnding Story,Limahl
All She Wants to Do Is Dance,Don Henley
Turn Up The Radio,Autograph
Method Of Modern Love,Daryl Hall John Oates
Foolish Heart,Steve Perry
Like A Virgin,Madonna
Call To The Heart,Giuffria
Run To You,Bryan Adams
Valotte,Julian Lennon
Tender Years,John Cafferty & The Beaver Brown Band
All Through The Night,Cyndi Lauper
Centipede,Rebbie Jackson
It Ain't Enough,Corey Hart
What About Me?,Kenny Rogers With Kim Carnes & James Ingram
Drive,The Cars
Stuck On You,Lionel Richie
Sad Songs (say So Much),Elton John
Alibis,Sergio Mendes
Legs,ZZ Top
Let's Hear It For The Boy,Deniece Williams
Breakdance,Irene Cara
Somebody's Watching Me,Rockwell
I Want A New Drug,Huey Lewis & The News
Running With The Night,Lionel Richie
Send Me An Angel,Real Life
I Still Can't Get Over Loving You,Ray Parker Jr.
Ain't Nobody,Chaka Khan
One Thing Leads To Another,The Fixx
Stand Back,Stevie Nicks
Our House,Madness
All This Love,Debarge
Too Shy,Kajagoogoo
Straight From The Heart,Bryan Adams
Stray Cat Strut,Stray Cats
Your Love Is Driving Me Crazy,Sammy Hagar
Dirty Laundry,Don Henley
Heartlight,Neil Diamond
I Keep Forgettin' (Every Time You're Near),Michael McDonald
Somebody's Baby,Jackson Browne
Ebony And Ivory,Paul McCartney And Stevie Wonder
We Got The Beat,Go-Go's
Pac-Man Fever,Buckner & Garcia
Take It Easy On Me,Little River Band
Cool Night,Paul Davis
Leather And Lace,Stevie Nicks With Don Henley
Trouble,Lindsey Buckingham
Young Turks,Rod Stewart
Every Little Thing She Does Is Magic,The Police
"My Girl (Gone, Gone, Gone)",Chilliwack
Tryin' To Live My Life Without You,Bob Seger
Hard To Say,Dan Fogelberg
Hold On Tight,Electric Light Orchestra
It's Now Or Never,John Schneider
The One That You Love,Air Supply
Double Dutch Bus,Frankie Smith
Too Much Time On My Hands,Styx
Sweetheart,Franke & The Knockouts
The Best Of Times,Styx
I Ain't Gonna Stand For It,Stevie Wonder
Giving It Up For Your Love,Delbert McClinton
Hey Nineteen,Steely Dan
Suddenly,Olivia Newton-John & Cliff Richard
Everybody's Got To Learn Sometime,The Korgis
Never Be The Same,Christopher Cross
Without Your Love,Roger Daltrey
Emotional Rescue,The Rolling Stones
Let My Love Open The Door,Pete Townshend
More Love,Kim Carnes
Cupid/I've Loved You For A Long Time,The Spinners
Tired Of Toein' The Line,Rocky Burnette
Biggest Part Of Me,Ambrosia
Don't Fall In Love With A Dreamer,Kenny Rogers With Kim Carnes
Should've Never Let You Go,Neil Sedaka & Dara Sedaka
Stomp!,The Brothers Johnson
I Pledge My Love,Peaches & Herb
An American Dream,The Dirt Band
Romeo's Tune,Steve Forbert
Coward Of The County,Kenny Rogers
Deja Vu,Dionne Warwick
Wait For Me,Daryl Hall John Oates
Better Love Next Time,Dr. Hook
Babe,Styx
If You Remember Me,Chris Thompson & Night
Born To Be Alive,Patrick Hernandez
Good Times,Chic
We Are Family,Sister Sledge
I Want You To Want Me,Cheap Trick
Love You Inside Out,Bee Gees
Get Used To It,Roger Voudouris
Renegade,Styx
He's The Greatest Dancer,Sister Sledge
I Want Your Love,Chic
Take Me Home,Cher
Heaven Knows,Donna Summer With Brooklyn Dreams
Lotta Love,Nicolette Larson
Shake It,Ian Matthews
My Life,Billy Joel
Strange Way,Firefall
Hopelessly Devoted To You,Olivia Newton-John
Shame,"Evelyn ""Champagne"" King"
Use Ta Be My Girl,The O'Jays
Can't Smile Without You,Barry Manilow
Peg,Steely Dan
Native New Yorker,Odyssey
Don't Let Me Be Misunderstood,Santa Esmeralda Starring Leroy Gomez
Here You Come Again,Dolly Parton
(Every Time I Turn Around) Back In Love Again,LTD
Crazy On You,Heart
We Just Disagree,Dave Mason
Strawberry Letter 23,The Brothers Johnson
Looks Like We Made It,Barry Manilow
Lucille,Kenny Rogers
Hotel California,Eagles
So In To You,Atlanta Rhythm Section
Don't Give Up On Us,David Soul
The Things We Do For Love,10cc
Weekend In New England,Barry Manilow
After The Lovin',Engelbert Humperdinck
Love Me,Yvonne Elliman
More Than A Feeling,Boston
Getaway,"Earth, Wind & Fire"
Say You Love Me,Fleetwood Mac
This Masquerade,George Benson
I'm Easy,Keith Carradine
Silly Love Songs,Wings
Disco Lady,Johnnie Taylor
Let Your Love Flow,Bellamy Brothers
Lonely Night (angel Face),Captain & Tennille
All By Myself,Eric Carmen
Eighteen With A Bullet,Pete Wingfield
Lady Blue,Leon Russell
Wasted Days And Wasted Nights,Freddy Fender
The Hustle,Van McCoy & The Soul City Symphony
Wildfire,Michael Murphey
Thank God I'm A Country Boy,John Denver
Killer Queen,Queen
Best Of My Love,Eagles
Cat's In The Cradle,Harry Chapin
Sha-La-La (Make Me Happy),Al Green
You Haven't Done Nothin,Stevie Wonder
Then Came You,Dionne Warwicke & Spinners
Keep On Smilin',Wet Willie
Rikki Don't Lose That Number,Steely Dan
Hollywood Swinging,Kool & The Gang
"Billy, Don't Be A Hero",Bo Donaldson And The Heywoods
La Grange,ZZ Top
Help Me,Joni Mitchell
The Show Must Go On,Three Dog Night
Star Baby,The Guess Who
Let Me Be There,Olivia Newton-John
Smokin' In The Boy's Room,Brownsville Station
Just You 'n' Me,Chicago
Midnight Train To Georgia,Gladys Knight And The Pips
Keep On Truckin' (Part 1),Eddie Kendricks
Let's Get It On,Marvin Gaye
Behind Closed Doors,Charlie Rich
Natural High,Bloodstone
Hocus Pocus,Focus
Funky Worm,Ohio Players
Teddy Bear Song,Barbara Fairchild
Rocky Mountain High,John Denver
Rockin' Pneumonia - Boogie Woogie Flu,Johnny Rivers
Lucky Man,"Emerson, Lake & Palmer"
Garden Party,Rick Nelson And The Stone Canyon Band
How Do You Do?,Mouth & MacNeal
Lean On Me,Bill Withers
Without You,Nilsson
American Pie (Parts I & II),Don McLean
Tired Of Being Alone,Al Green
Mr. Bojangles,Nitty Gritty Dirt Band
One Less Bell To Answer,The 5th Dimension
I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy
I Want You Back,Jackson 5
It's Getting Better,Mama Cass
Everyday People,Sly & The Family Stone
Hey Jude,The Beatles
People,Barbra Streisand
The Wonder Of You,Ray Peterson
"Summertime, Summertime",The Jamies
I Know (You Don't Love Me No More),Barbara George
Town Without Pity,Gene Pitney
My True Story,The Jive Five With Joe Rene And Orchestra
Will You Love Me Tomorrow,The Shirelles
Devil Or Angel,Bobby Vee
Hot Rod Lincoln,Charlie Ryan and the Timberline Riders
Love You So,Ron Holden with The Thunderbirds
Mountain Of Love,Harold Dorman
In The Mood,Ernie Fields & Orch.
Broken-Hearted Melody,Sarah Vaughan
There Goes My Baby,The Drifters
Personality,Lloyd Price and His Orchestra
Pink Shoe Laces,Dodie Stevens
Since I Don't Have You,The Skyliners
Tragedy,Thomas Wayne With the Delons
Smoke Gets In Your Eyes,The Platters
Queen Of The Hop,Bobby Darin
The End,Earl Grant
Tears On My Pillow,Little Anthony And The Imperials
Bad Habits,Ed Sheeran
Beggin',Maneskin
You Right,Doja Cat & The Weeknd
My Boy,Elvie Shane
We're Good,Dua Lipa
Drankin N Smokin,Future & Lil Uzi Vert
Mr. Right Now,21 Savage & Metro Boomin Featuring Drake
Ain't Always The Cowboy,Jon Pardi
Last Christmas,Wham!
Girls In The Hood,Megan Thee Stallion
Like That,Doja Cat Featuring Gucci Mane
Stuck With U,Ariana Grande & Justin Bieber
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi
You Should Be Sad,Halsey
Vete,Bad Bunny
Remember You Young,Thomas Rhett
Enemies,Post Malone Featuring DaBaby
China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin"
Rearview Town,Jason Aldean
Love Ain't,Eli Young Band
Mixed Personalities,YNW Melly Featuring Kanye West
Yosemite,Travis Scott
OTW,"Khalid, Ty Dolla $ign & 6LACK"
Call Out My Name,The Weeknd
Zombie,Bad Wolves
I Lived It,Blake Shelton
Most People Are Good,Luke Bryan
You Broke Up With Me,Walker Hayes
Round Here Buzz,Eric Church
Light It Up,Luke Bryan
Heartache On The Dance Floor,Jon Pardi
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean"
Flatliner,Cole Swindell
Any Ol' Barstool,Jason Aldean
Call On Me,Starley
Chantaje,Shakira Featuring Maluma
Used To This,Future Featuring Drake
Fresh Eyes,Andy Grammer
Song For Another Time,Old Dominion
Sleep Without You,Brett Young
Why You Always Hatin?,YG Featuring Drake & Kamaiyah
All In My Head (Flex),Fifth Harmony Featuring Fetty Wap
Body,Dreezy Featuring Jeremih
Youth,Troye Sivan
Purple Rain,Prince And The Revolution
Raspberry Beret,Prince And The Revolution
Acquainted,The Weeknd
I Love This Life,LOCASH
Back Up,DeJ Loaf Featuring Big Sean
Gonna,Blake Shelton
Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd
Let Me See Ya Girl,Cole Swindell
Anything Goes,Florida Georgia Line
One Hell Of An Amen,Brantley Gilbert
Tonight Looks Good On You,Jason Aldean
Love Me Like You Mean It,Kelsea Ballerini
Little Toy Guns,Carrie Underwood
Say You Do,Dierks Bentley
Lonely Eyes,Chris Young
Just Gettin' Started,Jason Aldean
Body Language,Kid Ink Featuring Usher & Tinashe
L.A.LOVE (la la),Fergie
Steal My Girl,One Direction
No Love,August Alsina
This Is How We Do,Katy Perry
Really Don't Care,Demi Lovato Featuring Cher Lloyd
Pills N Potions,Nicki Minaj
River Bank,Brad Paisley
Birthday,Katy Perry
Tennis Court,Lorde
Whiskey In My Water,Tyler Farr
Move That Doh,"Future Featuring Pharrell, Pusha T & Casino"
Wild Wild Love,Pitbull Featuring G.R.L.
Cop Car,Keith Urban
19 You + Me,Dan + Shay
Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez"
Adore You,Miley Cyrus
See You Tonight,Scotty McCreery
Love Me Again,John Newman
The Fox,Ylvis
Beat It,Sean Kingston Featuring Chris Brown & Wiz Khalifa
Pirate Flag,Kenny Chesney
Little Things,One Direction
Pound The Alarm,Nicki Minaj
Amen,Meek Mill Featuring Drake
Over,Blake Shelton
For You,Keith Urban
Dance Again,Jennifer Lopez Featuring Pitbull
So Good,B.o.B
You Gonna Fly,Keith Urban
The Trouble With Girls,Scotty McCreery
Heartbeat,The Fray
Party,Beyonce Featuring Andre 3000
That Way,Wale Featuring Jeremih & Rick Ross
I Got You,Thompson Square
Marvins Room,Drake
One More Drinkin' Song,Jerrod Niemann
Cheers (Drink To That),Rihanna
Long Hot Summer,Keith Urban
Every Teardrop Is A Waterfall,Coldplay
Never Gonna Leave This Bed,Maroon 5
I Smile,Kirk Franklin
Far Away,Marsha Ambrosius
Country Song,Seether
Without You,Keith Urban
Bleed Red,Ronnie Dunn
You Be Killin Em,Fabolous
Fall For Your Type,Jamie Foxx Featuring Drake
No BS,Chris Brown
Whip My Hair,WILLOW
Memories,David Guetta Featuring Kid Cudi
Turn On The Radio,Reba
The Boys of Fall,Kenny Chesney
All Over Me,Josh Turner
Waka Waka (This Time For Africa),Shakira Featuring Freshlyground
Somebody To Love,Justin Bieber Featuring Usher
Glitter In The Air,P!nk
My First Kiss,3OH!3 Featuring Ke$ha
Rock That Body,The Black Eyed Peas
She Won't Be Lonely Long,Clay Walker
Eenie Meenie,Sean Kingston & Justin Bieber
If We Ever Meet Again,Timbaland Featuring Katy Perry
Solo,Iyaz
Everything To Me,Monica
Unstoppable,Rascal Flatts
Today Was A Fairytale,Taylor Swift
Shots,LMFAO Featuring Lil Jon
Southern Voice,Tim McGraw
Successful,Drake Featuring Trey Songz & Lil Wayne
Summer Nights,Rascal Flatts
I Do Not Hook Up,Kelly Clarkson
Show Me What I'm Looking For,Carolina Liar
Sugar,Flo Rida Featuring Wynter
Boyfriend #2,Pleasure P
Careless Whisper,Seether
I Told You So,Carrie Underwood Featuring Randy Travis
Just Like Me,Jamie Foxx Featuring T.I.
Down The Road,Kenny Chesney With Mac McAnally
One More Drink,Ludacris Co-Starring T-Pain
"You're Gonna Go Far, Kid",The Offspring
In Color,Jamey Johnson
Keeps Gettin' Better,Christina Aguilera
Right Here (Departed),Brandy
Back When I Knew It All,Montgomery Gentry
The Way That I Love You,Ashanti
Love Don't Live Here,Lady Antebellum
The Anthem,Pitbull Featuring Lil Jon
International Harvester,Craig Morgan
Get Buck In Here,"DJ Felli Fel Featuring Diddy, Akon, Ludacris & Lil Jon"
Pictures Of You,The Last Goodnight
Fall,Clay Walker
Me Love,Sean Kingston
If You're Reading This,Tim McGraw
You Know What It Is,T.I. Featuring Wyclef Jean
Wipe Me Down,Lil Boosie Featuring Foxx & Webbie
I Tried,Bone Thugs-N-Harmony Featuring Akon
Forever,Papa Roach
Beautiful Liar,Beyonce & Shakira
Settlin',Sugarland
Buddy,Musiq Soulchild
Upgrade U,Beyonce Featuring Jay Z
Wind It Up,Gwen Stefani
Need A Boss,Shareefa Featuring Ludacris
The Riddle,Five For Fighting
Call On Me,Janet & Nelly
Bring It On Home,Little Big Town
MakeDamnSure,Taking Back Sunday
Settle For A Slowdown,Dierks Bentley
Something's Gotta Give,LeAnn Rimes
L.O.V.E.,Ashlee Simpson
Gotta Go,Trey Songz
More Than Words,Frankie J
Best I Ever Had,Gary Allan
Alcohol,Brad Paisley
Make Her Feel Good,Teairra Mari
Be Yourself,Audioslave
Welcome To My Life,Simple Plan
Baby It's You,JoJo Featuring Bow Wow
Balla Baby,Chingy
Hush,LL Cool J Featuring 7 Aurelius
Call My Name,Prince
Let's Get Away,T.I.
Whiskey Lullaby,Brad Paisley Featuring Alison Krauss
Everytime,Britney Spears
Loco,David Lee Murphy
Jook Gal (Wine Wine),Elephant Man
Lying From You,Linkin Park
My Band,D12
Wanna Get To Know You,G-Unit Featuring Joe
Neva Eva,Trillville
Long Black Train,Josh Turner
I Can Only Imagine,MercyMe
Gangsta Nation,Westside Connection Featuring Nate Dogg
Change Clothes,JAY-Z
Breathe,Michelle Branch
Stunt 101,G Unit
Knock Knock,Monica
Weak And Powerless,A Perfect Circle
Officially Missing You,Tamia
The Boys Of Summer,The Ataris
Sing For The Moment,Eminem
Rock The Party,Benzino
Oh Yeah!,"Big Tymers Featuring Tateeze, Boo & Gotti"
Ordinary Day,Vanessa Carlton
Trade It All,Fabolous Featuring P. Diddy & Jagged Edge
In Da Wind,Trick Daddy Featuring Cee-Lo & Big Boi
When You Lie Next To Me,Kellie Coffey
"My Neck, My Back",Khia Featuring DSD
Gots Ta Be,B2K
What About Us?,Brandy
The World's Greatest,R. Kelly
What Am I Gonna Do,Tyrese
Every Other Time,LFO
Angel,Lionel Richie
Two People Fell In Love,Brad Paisley
If You Can Do Anything Else,George Strait
If I Fall You're Going Down With Me,Dixie Chicks
Who's That Girl?,Eve
Around The World (La La La La La),ATC
If My Heart Had Wings,Faith Hill
Babylon,David Gray
She Bangs,Ricky Martin
Whatever,Ideal Featuring Lil' Mo
Wobble Wobble,504 Boyz
Mirror Mirror,M2M
That's What I'm Looking For,Da Brat
Re-arranged,Limp Bizkit
Shake Your Bon-Bon,Ricky Martin
Ready To Run,Dixie Chicks
The Secret Of Life,Faith Hill
Everything Is Everything,Lauryn Hill
Chante's Got A Man,Chante Moore
It Ain't My Fault 1 & 2,Silkk The Shocker Featuring Mystikal
I'm Your Angel,R. Kelly & Celine Dion
Lullaby,Shawn Mullins
I Can Do That,Montell Jordan
Intergalactic,Beastie Boys
26 Cents,The Wilkinsons
Nobody Does It Better,Nate Dogg Featuring Warren G
Push It,Garbage
I'm From The Country,Tracy Byrd
Do For Love,2Pac Featuring Eric Williams
A Rose Is Still A Rose,Aretha Franklin
Are You Jimmy Ray?,Jimmy Ray
Then What?,Clay Walker
I Know Where It's At,All Saints
More Than This,"10,000 Maniacs"
Full Of Smoke,Christion
Staring At The Sun,U2
"Too Late, Too Soon",Jon Secada
The Theme (It's Party Time),Tracey Lee
Please Don't Go,No Mercy
Hero Of The Day,Metallica
I Fell In Love,Rockell
Floatin' On Your Love,The Isley Brothers Featuring Angela Winbush
Let's Get The Mood Right,Johnny Gill
